instrument_key,isin,cusip,security_name,security_ticker,asset_cat,country,first_seen_date
US74989UAJ25,US74989UAJ25,74989UAJ2,RR Ltd,,ABS-CBDO,BM,2026-01
US78110TAQ22,US78110TAQ22,78110TAQ2,RR Ltd,,ABS-CBDO,BM,2026-01
US103228AN27,US103228AN27,103228AN2,BOYCE PARK CLO LLC 2022-1A,,ABS-CBDO,JE,2026-03
US056920AA98,US056920AA98,056920AA9,"Bain Capital Credit CLO, Limited",,ABS-CBDO,JE,2026-01
US09077RAL33,US09077RAL33,09077RAL3,Birch Grove CLO Ltd.,,ABS-CBDO,JE,2026-01
US09609QAA67,US09609QAA67,09609QAA6,Blueberry Park CLO,,ABS-CBDO,JE,2026-01
US14688HAA05,US14688HAA05,14688HAA0,Carval CLO LTD,,ABS-CBDO,JE,2026-01
US38178DAU19,US38178DAU19,38178DAU1,"Golub Capital Partners CLO, LTD",,ABS-CBDO,JE,2026-01
US38181AAA60,US38181AAA60,38181AAA6,"Golub Capital Partners CLO, LTD",,ABS-CBDO,JE,2026-01
US40638LAL36,US40638LAL36,40638LAL3,"HalseyPoint CLO I, Ltd.",,ABS-CBDO,JE,2026-01
US67570FAA30,US67570FAA30,67570FAA3,OCP CLO Ltd,,ABS-CBDO,JE,2026-01
US758970AA56,US758970AA56,758970AA5,Regatta XXVII Funding Ltd.,,ABS-CBDO,JE,2026-01
US82671XAQ60,US82671XAQ60,82671XAQ6,"Signal Peak CLO, LLC",,ABS-CBDO,JE,2026-01
US00038KBE01,US00038KBE01,00038KBE0,AB BSL CLO 1 Ltd,,ABS-CBDO,KY,2026-01
US00122JAA97,US00122JAA97,00122JAA9,AGL CLO Ltd.,,ABS-CBDO,KY,2026-01
US04018NAW11,US04018NAW11,04018NAW1,ARES CLO Ltd,,ABS-CBDO,KY,2026-01
US04942FAL31,US04942FAL31,04942FAL3,ATCLO-2021-17A,,ABS-CBDO,KY,2026-03
US00901JAA60,US00901JAA60,00901JAA6,Aimco,,ABS-CBDO,KY,2026-01
US016269AJ19,US016269AJ19,016269AJ1,Alinea CLO LTD,,ABS-CBDO,KY,2026-01
US03328TBS33,US03328TBS33,03328TBS3,Anchorage Capital CLO LTD,,ABS-CBDO,KY,2026-01
US09628VAW46,US09628VAW46,09628VAW4,BLUEMOUNTAIN CLO LTD 2016-3A,,ABS-CBDO,KY,2026-03
US09630AAN63,US09630AAN63,09630AAN6,BLUEMOUNTAIN CLO LTD 2018-3A,,ABS-CBDO,KY,2026-03
US05685AAQ13,US05685AAQ13,05685AAQ1,"Bain Capital Credit CLO, Limited",,ABS-CBDO,KY,2026-01
US07132ACN19,US07132ACN19,07132ACN1,Battalion CLO LTD,,ABS-CBDO,KY,2026-01
US07132EAS46,US07132EAS46,07132EAS4,Battalion CLO LTD,,ABS-CBDO,KY,2026-01
US09076VAQ41,US09076VAQ41,09076VAQ4,Birch Grove CLO Ltd.,,ABS-CBDO,KY,2026-01
US09090QAA22,US09090QAA22,09090QAA2,Birch Grove CLO Ltd.,,ABS-CBDO,KY,2026-01
US11766CAA27,US11766CAA27,11766CAA2,Bryant Park Funding Ltd,,ABS-CBDO,KY,2026-01
US12482JAA88,US12482JAA88,12482JAA8,CBAM CLO Management,,ABS-CBDO,KY,2026-01
US12551JAL08,US12551JAL08,12551JAL0,CIFC FUNDING LTD 2017-4A,,ABS-CBDO,KY,2026-03
US12547DAN66,US12547DAN66,12547DAN6,CIFC Funding Ltd,,ABS-CBDO,KY,2026-01
US12551MAL37,US12551MAL37,12551MAL3,CIFC Funding Ltd,,ABS-CBDO,KY,2026-01
US17180WAJ45,US17180WAJ45,17180WAJ4,CIFC Funding Ltd,,ABS-CBDO,KY,2026-01
US17181PAC32,US17181PAC32,17181PAC3,CIFC Funding Ltd,,ABS-CBDO,KY,2026-01
US12676EAE77,US12676EAE77,12676EAE7,CQS US CLO Ltd,,ABS-CBDO,KY,2026-01
US146918AA59,US146918AA59,146918AA5,Carval CLO LTD,,ABS-CBDO,KY,2026-01
US26244RAF82,US26244RAF82,26244RAF8,DRSLF-2017-54A,,ABS-CBDO,KY,2026-03
US26251LAC81,US26251LAC81,26251LAC8,DRYDEN CLO LTD 2018-64A,,ABS-CBDO,KY,2026-03
US26245CBQ50,US26245CBQ50,26245CBQ5,Dryden Senior Loan Fund,,ABS-CBDO,KY,2026-01
US29004CAA62,US29004CAA62,29004CAA6,Elmwood CLO 26 Ltd,,ABS-CBDO,KY,2026-01
US29001LBA89,US29001LBA89,29001LBA8,Elmwood CLO II Ltd.,,ABS-CBDO,KY,2026-01
US29002HAY53,US29002HAY53,29002HAY5,Elmwood CLO III Ltd,,ABS-CBDO,KY,2026-01
US29246AAL44,US29246AAL44,29246AAL4,Empower CLO Ltd.,,ABS-CBDO,KY,2026-01
US30343TAA79,US30343TAA79,30343TAA7,FS Rialto Issuer Ltd,,ABS-CBDO,KY,2026-01
US36361UAL44,US36361UAL44,36361UAL4,"GALLATIN FUNDING LTD, GALLATIN CLO VII LLC 2017-1A",,ABS-CBDO,KY,2026-03
US381733AJ31,US381733AJ31,381733AJ3,GOLUB CAPITAL PARTNERS CLO 60A LTD,,ABS-CBDO,KY,2026-03
US36320TBM45,US36320TBM45,36320TBM4,Galaxy CLO Ltd,,ABS-CBDO,KY,2026-01
US38136NAY22,US38136NAY22,38136NAY2,"GoldenTree Loan Management US CLO1, LTD",,ABS-CBDO,KY,2026-01
US38180QAA22,US38180QAA22,38180QAA2,"Golub Capital Partners CLO, LTD",,ABS-CBDO,KY,2026-01
US40639GAN97,US40639GAN97,40639GAN9,"HalseyPoint CLO I, Ltd.",,ABS-CBDO,KY,2026-01
US48252KAA79,US48252KAA79,48252KAA7,KKR Financial CLO Ltd,,ABS-CBDO,KY,2026-01
US48253YBL11,US48253YBL11,48253YBL1,KKR Financial CLO Ltd,,ABS-CBDO,KY,2026-01
US48254LAN55,US48254LAN55,48254LAN5,KKR Financial CLO Ltd,,ABS-CBDO,KY,2026-01
